Seed,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,mean_test_score,std_test_score,testing_accuracy
11,0.0001,"(15,)",0.1,500,0.7991529597163399,0.04132185292528285,0.8770949720670391
11,0.001,"(10,)",0.01,500,0.7935191568994384,0.04111098751629765,0.8715083798882681
11,0.0001,"(10,)",0.01,500,0.7977346597064907,0.041506140186586056,0.8659217877094972
11,0.0001,"(20,)",0.01,500,0.803398010440264,0.038781738136545806,0.8659217877094972
11,0.001,"(10,)",0.1,500,0.79491775829804,0.03633270674099698,0.8659217877094972
11,0.001,"(20,)",0.01,500,0.8062149118487147,0.03250220116661467,0.8659217877094972
11,0.001,"(5, 10)",0.1,500,0.7893135033980104,0.022358670044918393,0.8659217877094972
11,0.0001,"(10,)",0.1,500,0.7949276076036639,0.025043404689740104,0.8603351955307262
11,0.0001,"(20,)",0.1,500,0.8005712597261893,0.025983106678206774,0.8603351955307262
11,0.0001,"(5, 10)",0.1,500,0.7823204964050035,0.022939483180648697,0.8547486033519553
11,0.0001,"(5, 10)",0.01,500,0.7808923470895301,0.022837721536915285,0.8547486033519553
11,0.001,"(15,)",0.1,500,0.8019895597360387,0.03552171429098444,0.8547486033519553
11,0.0001,"(15,)",0.01,500,0.7893233527036344,0.042645593962956634,0.8491620111731844
11,0.001,"(15,)",0.01,500,0.7935487048163103,0.035077557708336926,0.8324022346368715
11,0.001,"(20,)",0.1,500,0.8019698611247907,0.019482250184214244,0.8324022346368715
11,0.001,"(5, 10)",0.01,500,0.796365606224761,0.03340683526475593,0.8324022346368715
